Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.8787878787878788,0.8904761904761906,,0.8902356902356903,0.1817176342010498
XGBClassifier,0.7272727272727273,0.7357142857142858,,0.7050505050505051,0.7038290500640869
LGBMClassifier,0.696969696969697,0.6702380952380952,,0.6902356902356903,1.0049045085906982
RandomForestClassifier,0.6666666666666666,0.6345238095238095,,0.6470899470899472,0.26017332077026367
PassiveAggressiveClassifier,0.6666666666666666,0.6285714285714284,,0.6401591674318947,0.03239846229553223
LinearSVC,0.6060606060606061,0.5785714285714285,,0.5604136604136604,0.2859456539154053
LogisticRegression,0.5757575757575758,0.5726190476190476,,0.5714285714285714,0.027860403060913086
NearestCentroid,0.5757575757575758,0.5726190476190476,,0.5811688311688312,0.013768911361694336
RidgeClassifierCV,0.5757575757575758,0.5511904761904761,,0.5444203944203944,0.0918283462524414
BernoulliNB,0.5151515151515151,0.5214285714285715,,0.4969172241899515,0.02232074737548828
BaggingClassifier,0.5757575757575758,0.5035714285714286,,0.5861952861952862,0.10385513305664062
RidgeClassifier,0.5151515151515151,0.5011904761904761,,0.5299422799422799,0.02411341667175293
DecisionTreeClassifier,0.48484848484848486,0.4857142857142857,,0.4595959595959596,0.027344226837158203
LinearDiscriminantAnalysis,0.45454545454545453,0.4714285714285714,,0.49206349206349204,0.10213923454284668
CalibratedClassifierCV,0.42424242424242425,0.4690476190476191,,0.3834776334776335,1.2195265293121338
Perceptron,0.45454545454545453,0.4178571428571428,,0.48131313131313136,0.0230710506439209
NuSVC,0.36363636363636365,0.40952380952380957,,0.4471861471861472,0.02286839485168457
SGDClassifier,0.42424242424242425,0.37619047619047613,,0.4340548340548341,0.08730840682983398
GaussianNB,0.30303030303030304,0.3261904761904762,,0.3229437229437229,0.017116308212280273
ExtraTreeClassifier,0.30303030303030304,0.2833333333333333,,0.284992784992785,0.014350414276123047
QuadraticDiscriminantAnalysis,0.21212121212121213,0.28214285714285714,,0.17929292929292928,0.019289493560791016
KNeighborsClassifier,0.2727272727272727,0.23214285714285715,,0.19343434343434343,0.03524589538574219
SVC,0.15151515151515152,0.1571428571428571,,0.19898989898989902,0.02376699447631836
LabelSpreading,0.06060606060606061,0.08571428571428572,,0.08080808080808081,0.05359482765197754
LabelPropagation,0.06060606060606061,0.08571428571428572,,0.08080808080808081,0.0455927848815918
AdaBoostClassifier,0.06060606060606061,0.07142857142857142,,0.048484848484848485,0.25029921531677246
DummyClassifier,0.0,0.0,,0.0,0.01255941390991211
